Genes	Categories
A0A3L8DQN8	ko01000
A0A3L8DQN8	ko03400
A0A3L8D2R7	ko00000
A0A3L8D2R7	ko00001
A0A3L8D2R7	ko01000
A0A3L8D2R7	ko01003
A0A3L8E7J3	ko00000
A0A3L8E7J3	ko04121
A0A026WT41	ko00000
A0A026WT41	ko00001
A0A026WT41	ko00002
A0A026WT41	ko03029
A0A3L8E287	ko00000
A0A3L8E287	ko00001
A0A3L8E287	ko03019
A0A3L8DBC7	ko00000
A0A3L8DBC7	ko00001
A0A3L8DZ73	ko00000
A0A3L8DZ73	ko04031
A0A3L8DZ73	ko04131
A0A3L8D538	ko00000
A0A3L8D538	ko00199
A0A3L8D538	ko01000
A0A026VZU7	ko00000
A0A026VZU7	ko02000
A0A3L8E180	ko00000
A0A3L8E180	ko00001
A0A3L8E180	ko00002
A0A026WCB0	ko00000
A0A026WCB0	ko00001
A0A026WCB0	ko04040
A0A026VTU7	ko00000
A0A026WHB2	ko00000
A0A026WHB2	ko00001
A0A026WHB2	ko01000
A0A026WHB2	ko01001
A0A026WHB2	ko04131
A0A026WB51	ko00000
A0A026WB51	ko03009
A0A026WB51	ko03029
A0A3L8DE07	ko00000
A0A3L8DE07	ko00001
A0A3L8DE07	ko01000
A0A3L8DE07	ko01002
A0A026W2W0	ko00000
A0A026W2W0	ko03051
A0A3L8DLZ9	ko00000
A0A3L8DLZ9	ko00001
A0A3L8DLZ9	ko00002
A0A3L8DLZ9	ko03012
A0A3L8DLZ9	ko03019
A0A3L8E0I1	ko00000
A0A3L8E0I1	ko03036
A0A026WA35	ko00000
A0A026WA35	ko01000
A0A026WA35	ko03016
A0A026WKH8	ko00000
A0A026WKH8	ko00001
A0A026WKH8	ko03021
A0A026WVR4	ko00000
A0A026WVR4	ko00001
A0A026WVR4	ko00002
A0A026WVR4	ko01000
A0A026WRZ5	ko00000
A0A026WRZ5	ko00001
A0A026WRZ5	ko01000
A0A026X2E0	ko00000
A0A026X2E0	ko00001
A0A026X2E0	ko03000
A0A026X2E0	ko03310
A0A026WT67	ko00000
A0A026WT67	ko04121
A0A3L8D602	ko00000
A0A3L8D602	ko01000
A0A3L8DJV2	ko00000
A0A3L8DJV2	ko02000
A0A3L8DHJ2	ko00000
A0A3L8DHJ2	ko00001
A0A3L8DHJ2	ko00002
A0A3L8DHJ2	ko03019
A0A3L8DQC5	ko00000
A0A3L8DQC5	ko00001
A0A3L8DQC5	ko03000
A0A026VYL0	ko00000
A0A026VYL0	ko00001
A0A026VYL0	ko04812
A0A3L8DZ59	ko00000
A0A3L8DZ59	ko00001
A0A3L8DZ59	ko03021
A0A3L8E089	ko00000
A0A3L8E089	ko00001
A0A3L8E089	ko04516
A0A026WD24	ko00000
A0A026WD24	ko04131
A0A026WUB1	ko00000
A0A026WUB1	ko00001
A0A026WUB1	ko00002
A0A026WUB1	ko03041
A0A026WV16	ko00000
A0A026WV16	ko00001
A0A026W1M5	ko00000
A0A026W1M5	ko00001
A0A026W1M5	ko04091
A0A3L8DHB0	ko00000
A0A3L8DHB0	ko00001
A0A3L8DHB0	ko04131
A0A3L8DGV3	ko00000
A0A3L8DGV3	ko00001
A0A3L8DGV3	ko03019
A0A3L8DGV3	ko03036
A0A3L8DGI4	ko00000
A0A3L8DGI4	ko00001
A0A3L8DGI4	ko00002
A0A3L8DGI4	ko01000
A0A3L8DGI4	ko01007
A0A3L8DGI4	ko03016
A0A3L8DGI4	ko03029
A0A3L8DGI4	ko03036
A0A3L8DGI4	ko04131
A0A3L8DGI4	ko04812
A0A026WLY2	ko00000
A0A026WLY2	ko00001
A0A3L8DD23	ko00000
A0A3L8D8V2	ko00000
A0A3L8D8V2	ko00001
A0A3L8D8V2	ko04131
A0A026WDT5	ko00000
A0A026WDT5	ko00001
A0A026WDT5	ko00002
A0A026WDT5	ko01000
A0A026WUU1	ko00000
A0A026WUU1	ko00001
A0A026WUU1	ko00002
A0A026WUU1	ko01000
A0A026WUU1	ko01003
A0A026WUV9	ko00000
A0A026WUV9	ko00001
A0A026WUV9	ko00002
A0A026WUV9	ko01000
A0A026WUV9	ko01003
A0A026WIV1	ko00000
A0A026WIV1	ko03000
A0A3L8DJA0	ko00000
A0A3L8DJA0	ko00001
A0A026VTC1	ko00000
A0A026VTC1	ko00001
A0A026VTC1	ko03000
A0A026VTC1	ko03310
A0A026W2Z9	ko00000
A0A026W2Z9	ko00001
A0A026W2Z9	ko01009
A0A026W2Z9	ko03029
A0A026W2Z9	ko03036
A0A3L8DP39	ko00000
A0A3L8DP39	ko00001
A0A3L8DP39	ko04131
A0A3L8DP39	ko04812
A0A026WMZ4	ko00000
A0A026WMZ4	ko00001
A0A026WMZ4	ko03036
A0A026X0A0	ko00000
A0A026X0A0	ko00001
A0A026X0A0	ko01000
A0A026X0A0	ko04131
A0A026WTQ9	ko00000
A0A026WTQ9	ko00001
A0A026WTQ9	ko00002
A0A026WTQ9	ko01000
A0A026WTQ9	ko04147
A0A3L8DY79	ko00000
A0A3L8DY79	ko04040
A0A026WMW8	ko00000
A0A026WMW8	ko00001
A0A026WMW8	ko00002
A0A026WMW8	ko01000
A0A3L8D7D0	ko00000
A0A3L8D7D0	ko03000
A0A3L8D7D0	ko03310
A0A3L8DDS5	ko00000
A0A3L8DDS5	ko00001
A0A3L8DDS5	ko03036
A0A026WHJ2	ko00000
A0A026WHJ2	ko04040
A0A3L8DNF4	ko00000
A0A3L8DNF4	ko00537
A0A3L8DNF4	ko01000
A0A3L8DNF4	ko01002
A0A3L8DNF4	ko04147
A0A3L8E216	ko00000
A0A3L8E216	ko00001
A0A3L8E216	ko01009
A0A3L8E216	ko03012
A0A026WPC7	ko00000
A0A026WPC7	ko00001
A0A026WPC7	ko00002
A0A3L8DLS9	ko00000
A0A3L8DLS9	ko00001
A0A3L8DLS9	ko03000
A0A3L8DLS9	ko03310
A0A3L8DPA3	ko00000
A0A3L8DK07	ko00000
A0A3L8DK07	ko00001
A0A3L8DK07	ko00537
A0A3L8DK07	ko01000
A0A026WZH9	ko00000
A0A026WZH9	ko01000
A0A026WZH9	ko01006
A0A026WZH9	ko04131
A0A3L8DAU4	ko00000
A0A3L8DAU4	ko00001
A0A3L8DAU4	ko00002
A0A3L8DAU4	ko02044
A0A026WYT9	ko00000
A0A026WYT9	ko00001
A0A026WYT9	ko02000
A0A3L8DT36	ko00000
A0A3L8DT36	ko00001
A0A3L8DT36	ko01000
A0A3L8DT36	ko03036
A0A026VWS5	ko00000
A0A026VWS5	ko00001
A0A026VWS5	ko03036
A0A3L8DYT0	ko00000
A0A3L8DYT0	ko00001
A0A3L8DYT0	ko04031
A0A3L8DYT0	ko04121
A0A026WIH3	ko00000
A0A026WIH3	ko00001
A0A026WIH3	ko04131
A0A026W1E9	ko00000
A0A026W1E9	ko04131
A0A026WD61	ko00000
A0A3L8DVN7	ko00000
A0A3L8DVN7	ko00001
A0A3L8DVN7	ko01000
A0A3L8DVN7	ko03000
A0A3L8DVN7	ko03036
A0A026WL87	ko00000
A0A026WL87	ko00001
A0A026WL87	ko03036
A0A3L8DT42	ko00000
A0A3L8DT42	ko02000
A0A3L8DLP9	ko00000
A0A3L8DLP9	ko01009
A0A3L8DMG9	ko00000
A0A3L8DMG9	ko00001
A0A3L8DMG9	ko01000
A0A3L8DMG9	ko03032
A0A3L8DK11	ko00000
A0A3L8DK11	ko03019
A0A3L8DK11	ko03032
A0A059XKS2	ko00000
A0A059XKS2	ko00001
A0A059XKS2	ko00002
A0A059XKS2	ko01000
A0A059XKS2	ko04147
A0A3L8DZU2	ko00000
A0A3L8DZU2	ko00001
A0A3L8DZU2	ko00002
A0A3L8DZU2	ko01000
A0A3L8DZU2	ko01001
A0A3L8DQA6	ko00000
A0A3L8DQA6	ko01000
A0A3L8DQA6	ko03029
A0A3L8DH11	ko00000
A0A3L8DH11	ko00001
A0A3L8DH11	ko04131
A0A026WEM3	ko00000
A0A026WEM3	ko00001
A0A026WEM3	ko00002
A0A026WEM3	ko01000
A0A026WEM3	ko01003
A0A3L8DYS7	ko00000
A0A3L8DYS7	ko00001
A0A3L8DYS7	ko00002
A0A3L8DYS7	ko01000
A0A3L8DYS7	ko01003
A0A3L8D7N8	ko00000
A0A3L8D7N8	ko00001
A0A3L8D7N8	ko03009
A0A026W2M4	ko00000
A0A026W2M4	ko00001
A0A026W2M4	ko01000
A0A026W2M4	ko01006
A0A3L8DG04	ko00000
A0A3L8DG04	ko00001
A0A3L8DG04	ko03036
A0A3L8DKH7	ko00000
A0A3L8DKH7	ko03029
A0A3L8DNR6	ko00000
A0A3L8DNR6	ko01000
A0A3L8DNR6	ko01001
A0A3L8DNR6	ko04131
A0A026W7N3	ko00000
A0A026W7N3	ko00001
A0A026W7N3	ko01000
A0A026WU04	ko00000
A0A026WU04	ko00001
A0A026WU04	ko00002
A0A026WU04	ko01000
A0A026WTI4	ko00000
A0A026WTI4	ko01000
A0A3L8DDT0	ko00000
A0A3L8DDT0	ko03000
A0A3L8E1Z5	ko00000
A0A3L8E1Z5	ko00001
A0A3L8E1Z5	ko01000
A0A3L8E1Z5	ko01009
A0A3L8E1Z5	ko04516
A0A026X3X8	ko00000
A0A026X3X8	ko00001
A0A026X3X8	ko01000
A0A026W9D3	ko00000
A0A026W9D3	ko03021
A0A3L8DYY4	ko00000
A0A3L8DYY4	ko00001
A0A3L8DYY4	ko00002
A0A3L8DYY4	ko01000
A0A3L8D785	ko00000
A0A3L8D785	ko00001
A0A3L8D785	ko04812
A0A3L8DSH3	ko00000
A0A3L8DSH3	ko04040
A0A3L8DVZ8	ko00000
A0A3L8DVZ8	ko00001
A0A3L8DVZ8	ko00002
A0A3L8DVZ8	ko03019
A0A026WI02	ko00000
A0A026WI02	ko02000
A0A026WI02	ko04131
A0A3L8DV95	ko00000
A0A3L8DQ64	ko00000
A0A3L8DQ64	ko00001
A0A3L8DQ64	ko01000
A0A3L8DQ64	ko01003
A0A026X2K8	ko00000
A0A026X2K8	ko02000
A0A3L8DR93	ko00000
A0A3L8DR93	ko00001
A0A3L8DR93	ko01000
A0A026VXN3	ko00000
A0A026VXN3	ko00001
A0A026VXN3	ko04030
A0A3L8E3R4	ko00000
A0A3L8E3R4	ko00001
A0A3L8E3R4	ko04131
A0A026W588	ko00000
A0A026W588	ko00199
A0A026W588	ko01000
A0A026WXR6	ko00000
A0A026WXR6	ko00001
A0A3L8DDN5	ko00000
A0A3L8DDN5	ko00001
A0A3L8DDN5	ko03036
A0A3L8D5X6	ko00000
A0A3L8D5X6	ko00001
A0A3L8D5X6	ko01000
A0A3L8D5X6	ko02000
A0A3L8D5X6	ko04090
A0A3L8D5X6	ko04147
A0A3L8E140	ko00000
A0A3L8E140	ko00001
A0A3L8E140	ko00002
A0A3L8E140	ko01000
A0A3L8E140	ko01003
A0A3L8DVR0	ko00000
A0A3L8DVR0	ko00001
A0A3L8DVR0	ko01009
A0A3L8DVR0	ko04030
A0A026W3W4	ko00000
A0A026W3W4	ko03041
A0A3L8DE28	ko00000
A0A3L8DE28	ko00001
A0A3L8DE28	ko00002
A0A3L8DE28	ko01000
A0A3L8DE28	ko04147
A0A3L8DYT2	ko00000
A0A3L8DYT2	ko04030
A0A3L8DWQ6	ko00000
A0A3L8DWQ6	ko00001
A0A3L8DWQ6	ko03021
A0A026W3P9	ko00000
A0A026W3P9	ko04090
A0A3L8D5B3	ko00000
A0A3L8D5B3	ko00001
A0A3L8D5B3	ko01000
A0A3L8D5B3	ko01001
A0A3L8D5B3	ko04812
A0A026VWD2	ko00000
A0A026VWD2	ko00001
A0A026VWD2	ko00002
A0A026VWD2	ko01000
A0A026VWD2	ko04131
A0A026WYJ9	ko00000
A0A026WYJ9	ko00001
A0A026WYJ9	ko03000
A0A026WYJ9	ko04121
A0A026VZI6	ko00000
A0A026VZI6	ko04121
A0A026WA48	ko00000
A0A026WA48	ko03036
A0A3L8D6G3	ko00000
A0A3L8D6G3	ko01009
A0A3L8D6G3	ko03036
A0A3L8D8Z5	br01611
A0A3L8D8Z5	ko00000
A0A3L8D8Z5	ko00001
A0A3L8D8Z5	ko00002
A0A3L8D8Z5	ko03021
A0A3L8D9M6	ko00000
A0A3L8D9M6	ko00001
A0A3L8DIM2	ko00000
A0A3L8DIM2	ko00001
A0A3L8DIM2	ko04030
A0A3L8DUW4	ko00000
A0A3L8DUW4	ko01000
A0A3L8DUW4	ko01001
A0A026W8Y5	ko00000
A0A026W8Y5	ko00001
A0A026W8Y5	ko01000
A0A026W8Y5	ko01002
A0A026W8Y5	ko04090
A0A026W8Y5	ko04131
A0A026W8Y5	ko04147
A0A026WAT4	ko00000
A0A026WAT4	ko03021
A0A026W7H9	ko00000
A0A026W7H9	ko01000
A0A026W7H9	ko03016
A0A3L8D797	ko00000
A0A3L8D797	ko01000
A0A3L8D797	ko01009
A0A3L8D797	ko04516
A0A3L8DZP6	ko00000
A0A3L8DZP6	ko04030
A0A026WIT6	ko00000
A0A026WIT6	ko04121
A0A026WNF7	ko00000
A0A026WNF7	ko01000
A0A026WNF7	ko01001
A0A026WLX0	ko00000
A0A026WLX0	ko00001
A0A026WLX0	ko02000
A0A026WRE5	ko00000
A0A026WRE5	ko00001
A0A026WRE5	ko04131
A0A026WD90	ko00000
A0A026WD90	ko00001
A0A026WD90	ko01009
A0A026WD90	ko03029
A0A026WD90	ko04131
A0A3L8DMC9	ko00000
A0A3L8DMC9	ko00001
A0A3L8DMC9	ko00002
A0A3L8DMC9	ko03021
A0A3L8DMC9	ko03400
A0A3L8DJ42	ko00000
A0A3L8DJ42	ko01000
A0A3L8DJ42	ko03036
A0A3L8DM77	ko00000
A0A3L8DM77	ko00001
A0A3L8DM77	ko04131
A0A3L8DNB1	ko00000
A0A3L8DNB1	ko04040
A0A026WIP4	ko00000
A0A026WIP4	ko04121
A0A3L8E036	ko00000
A0A3L8E036	ko00001
A0A3L8E036	ko03019
A0A3L8E036	ko03041
A0A026WBW7	ko00000
A0A026WBW7	ko03000
A0A3L8DN91	ko00000
A0A3L8DN91	ko01002
A0A026WLX1	ko00000
A0A026WLX1	ko00001
A0A026WLX1	ko01000
A0A026WLX1	ko03110
A0A3L8DQD6	ko00000
A0A3L8DQD6	ko02000
A0A026W7R7	ko00000
A0A026W7R7	ko00001
A0A026W7R7	ko01000
A0A026WH05	ko00000
A0A026WH05	ko00001
A0A3L8DK40	ko00000
A0A3L8DK40	ko00001
A0A3L8DK40	ko00002
A0A3L8DK40	ko01000
A0A3L8DK40	ko03110
A0A026WIH6	ko00000
A0A026WIH6	ko00001
A0A026WIH6	ko00002
A0A026WAI0	ko00000
A0A026WAI0	ko00001
A0A026WAI0	ko03021
A0A026WX24	ko00000
A0A026WX24	ko00001
A0A026WX24	ko00002
A0A026WX24	ko03032
A0A026WYZ0	ko00000
A0A026WYZ0	ko03036
A0A026WU89	ko00000
A0A3L8D8E8	ko00000
A0A3L8D8E8	ko02000
A0A3L8DVP9	ko00000
A0A3L8DVP9	ko00001
A0A3L8DVP9	ko01000
A0A3L8DVP9	ko01003
A0A3L8DHW3	ko00000
A0A3L8DHW3	ko00001
A0A3L8DHW3	ko00002
A0A3L8DNT4	ko00000
A0A3L8DNT4	ko00001
A0A3L8DNT4	ko03019
A0A3L8E0X1	ko00000
A0A3L8E0X1	ko00001
A0A3L8E0X1	ko03009
A0A3L8DAZ6	ko00000
A0A3L8DAZ6	ko04030
A0A026WE07	ko00000
A0A026WE07	ko01009
A0A026WE07	ko04812
A0A3L8DGD0	ko00000
A0A3L8DGD0	ko03000
A0A026X0L0	ko00000
A0A026X0L0	ko00001
A0A026X0L0	ko00537
A0A026X0L0	ko01000
A0A026X0L0	ko04090
A0A026VZG9	ko00000
A0A026VZG9	ko04030
A0A3L8E0C8	ko00000
A0A3L8E0C8	ko00001
A0A3L8E0C8	ko00002
A0A3L8E0C8	ko01000
A0A3L8DK72	ko00000
A0A3L8DK72	ko00001
A0A3L8DK72	ko04031
A0A3L8DK72	ko04131
A0A026WT53	ko00000
A0A026WT53	ko00001
A0A026WT53	ko00199
A0A026WT53	ko00537
A0A026WT53	ko01000
A0A026W399	ko00000
A0A026W399	ko01000
A0A3L8D5D6	ko00000
A0A3L8D5D6	ko00001
A0A3L8D5D6	ko00002
A0A3L8D5D6	ko01000
A0A3L8D5D6	ko03019
A0A3L8D5D6	ko03041
A0A026WPE3	ko00000
A0A026WPE3	ko04121
A0A3L8E1Z3	ko00000
A0A3L8E1Z3	ko00001
A0A3L8E1Z3	ko00002
A0A3L8E1Z3	ko01000
A0A3L8E1Z3	ko01003
A0A026X3C4	ko00000
A0A026X3C4	ko00001
A0A026X3C4	ko00002
A0A026X3C4	ko01000
A0A026WU45	br01611
A0A026WU45	ko00000
A0A026WU45	ko00001
A0A026WU45	ko00002
A0A026WU45	ko03021
A0A026WLB9	ko00000
A0A026WLB9	ko00001
A0A026WLB9	ko00002
A0A3L8DKP7	ko00000
A0A3L8DKP7	ko00001
A0A3L8DKP7	ko00002
A0A026WKE6	ko00000
A0A026WKE6	ko04131
A0A026WH46	ko00000
A0A026WH46	ko03009
A0A3L8D8Z3	ko00000
A0A3L8D8Z3	ko03400
A0A3L8D510	ko00000
A0A3L8D510	ko01000
A0A3L8D510	ko03009
A0A3L8D510	ko03036
A0A3L8DSZ5	ko00000
A0A3L8DSZ5	ko00001
A0A026W776	ko00000
A0A026W776	ko04030
A0A3L8D9Q4	ko00000
A0A3L8D9Q4	ko01000
A0A3L8DU54	ko00000
A0A3L8DU54	ko01000
A0A3L8DU54	ko03016
A0A3L8DIY9	ko00000
A0A3L8DIY9	ko04030
A0A3L8D7P8	ko00000
A0A3L8D7P8	ko01000
A0A3L8D7P8	ko03036
A0A026WLT8	ko00000
A0A026WLT8	ko00001
A0A026WLT8	ko01000
A0A3L8D9C2	ko00000
A0A3L8D9C2	ko00001
A0A3L8D9C2	ko00002
A0A3L8D9C2	ko01000
A0A3L8D9C2	ko03041
A0A3L8D9C2	ko03110
A0A026W709	ko00000
A0A026W709	ko01000
A0A026W709	ko03016
A0A3L8DD42	ko00000
A0A3L8DD42	ko00001
A0A3L8DD42	ko03012
A0A026X331	ko00000
A0A026X331	ko00001
A0A026X331	ko04147
A0A3L8DAQ8	ko00000
A0A3L8DAQ8	ko00001
A0A3L8DAQ8	ko00002
A0A3L8DAQ8	ko01000
A0A3L8DAQ8	ko01001
A0A3L8DYG3	ko00000
A0A3L8DYG3	ko00001
A0A3L8DYG3	ko00002
A0A3L8DYG3	ko03041
A0A026VUD4	ko00000
A0A026VUD4	ko00001
A0A026VUD4	ko01000
A0A026VUD4	ko01001
A0A026VUD4	ko04131
A0A026VUD4	ko04147
A0A026VUD4	ko04812
A0A026WKY3	ko00000
A0A026WKY3	ko00001
A0A026WKY3	ko00002
A0A026WKY3	ko03019
A0A026WKY3	ko03036
A0A026X545	ko00000
A0A026X545	ko00001
A0A026X545	ko01000
A0A026X545	ko01002
A0A026X545	ko04121
A0A3L8DWK8	ko00000
A0A3L8DWK8	ko00001
A0A3L8DWK8	ko00002
A0A3L8DWK8	ko01000
A0A026WWP2	ko00000
A0A026WWP2	ko01000
A0A026WWP2	ko03036
A0A3L8D2H4	ko00000
A0A3L8D2H4	ko03009
A0A3L8E2N1	br01610
A0A3L8E2N1	ko00000
A0A3L8E2N1	ko00001
A0A3L8E2N1	ko00002
A0A3L8E2N1	ko03011
A0A026VUA5	ko00000
A0A026VUA5	ko04147
A0A026X0P5	br01601
A0A026X0P5	ko00000
A0A026X0P5	ko00001
A0A026X0P5	ko00002
A0A026X0P5	ko01000
A0A026X0P5	ko03009
A0A026WQV2	ko00000
A0A026WQV2	ko00001
A0A026WQV2	ko01000
A0A026WQV2	ko01009
A0A026X2H1	ko00000
A0A026X2H1	ko00001
A0A026X2H1	ko03016
A0A026X2H1	ko03036
A0A3L8DDY4	ko00000
A0A3L8DDY4	ko00001
A0A3L8DDY4	ko00002
A0A3L8DDY4	ko01000
A0A3L8D8S2	ko00000
A0A3L8D8S2	ko03036
A0A026WE79	ko00000
A0A3L8DPU1	ko00000
A0A3L8DPU1	ko01000
A0A3L8DPU1	ko03400
A0A3L8DBY2	ko00000
A0A3L8DBY2	ko00001
A0A026WD66	ko00000
A0A026WD66	ko00199
A0A026WD66	ko01000
A0A026WEY5	ko00000
A0A026WEY5	ko03009
A0A026WYH3	ko00000
A0A026WYH3	ko00001
A0A026WYH3	ko01000
A0A3L8D3E5	ko00000
A0A3L8D3E5	ko03000
A0A3L8DAN9	ko00000
A0A3L8DAN9	ko00001
A0A3L8DAN9	ko00002
A0A3L8DAN9	ko01000
A0A3L8DAN9	ko04147
A0A3L8DGW6	ko00000
A0A3L8DGW6	ko01000
A0A3L8DGW6	ko03036
A0A026WPX2	ko00000
A0A026WPX2	ko00001
A0A026WPX2	ko00002
A0A026WPX2	ko01000
A0A026WPX2	ko01003
A0A3L8DJ14	ko00000
A0A3L8DJ14	ko00001
A0A3L8DJ14	ko01000
A0A3L8DJ14	ko01001
A0A3L8DJ14	ko03009
A0A3L8DJ14	ko03021
A0A3L8DJ14	ko03036
A0A026W458	ko00000
A0A026W458	ko00001
A0A026W458	ko00002
A0A026W458	ko01000
A0A026W1D2	ko00000
A0A026W1D2	ko04121
A0A026X450	ko00000
A0A026X450	ko04030
A0A026WRQ1	ko00000
A0A026WRQ1	ko00001
A0A026WRQ1	ko00002
A0A026WRQ1	ko03051
A0A026WI96	ko00000
A0A026WI96	ko03041
A0A026WQB9	ko00000
A0A026WQB9	ko01000
A0A026WQB9	ko03009
A0A026WHI8	ko00000
A0A026WHI8	ko00001
A0A026WHI8	ko04040
A0A3L8E134	ko00000
A0A3L8E134	ko00001
A0A3L8E134	ko02000
A0A3L8DHD9	ko00000
A0A3L8DHD9	ko01000
A0A3L8DLV4	ko00000
A0A3L8DLV4	ko00001
A0A3L8DLV4	ko01000
A0A3L8DLV4	ko01001
A0A3L8DLV4	ko04147
A0A3L8D508	ko00000
A0A3L8D508	ko00001
A0A3L8D508	ko01000
A0A3L8D508	ko01001
A0A3L8D508	ko04812
A0A3L8D408	ko00000
A0A3L8D408	ko00001
A0A3L8D408	ko03019
A0A3L8D408	ko03021
A0A026WX98	ko00000
A0A026WX98	ko00001
A0A026WX98	ko00002
A0A026WX98	ko01000
A0A026WX98	ko01001
A0A3L8DJ66	ko00000
A0A3L8DJ66	ko00001
A0A3L8DJ66	ko01000
A0A3L8DJ66	ko01002
A0A3L8DJ66	ko03036
A0A3L8DLK4	ko00000
A0A3L8DLK4	ko01000
A0A3L8DLK4	ko01002
A0A3L8DMT9	ko00000
A0A3L8DMT9	ko01000
A0A3L8DMT9	ko04147
A0A026VS73	ko00000
A0A026VS73	ko01000
A0A026W0H5	ko00000
A0A026W0H5	ko03036
A0A026WGU0	ko00000
A0A026WGU0	ko00001
A0A026WGU0	ko01000
A0A3L8E5T9	ko00000
A0A3L8E5T9	ko04040
A0A3L8DYD6	ko00000
A0A3L8DYD6	ko04121
A0A3L8D6U7	ko00000
A0A3L8D6U7	ko00001
A0A3L8D6U7	ko03000
A0A026WPB8	ko00000
A0A026WPB8	ko03036
A0A026WPB8	ko03110
A0A026WPB8	ko04147
A0A026W7Q8	ko00000
A0A026W7Q8	ko00001
A0A026W7Q8	ko04040
A0A3L8DR43	ko00000
A0A3L8DR43	ko00001
A0A3L8DR43	ko00002
A0A3L8DR43	ko01000
A0A026WZ01	ko00000
A0A026WZ01	ko01000
A0A026WZ01	ko03400
A0A026WZ01	ko04121
A0A026WQY1	ko00000
A0A026WQY1	ko00001
A0A026WQY1	ko00002
A0A026W8W6	ko00000
A0A026W8W6	ko01000
A0A026W8W6	ko01001
A0A026W8W6	ko01020
A0A026W8W6	ko04050
A0A026WYY4	ko00000
A0A026WYY4	ko00001
A0A026WYY4	ko00002
A0A026WYY4	ko01000
A0A026WYY4	ko01007
A0A026WYY4	ko03016
A0A026W3C2	ko00000
A0A026W3C2	ko00001
A0A026W3C2	ko00002
A0A026W3C2	ko01000
A0A3L8DGE7	ko00000
A0A3L8DGE7	ko00001
A0A3L8DGE7	ko01000
A0A3L8DGE7	ko01002
A0A3L8DGE7	ko03110
A0A3L8DGE7	ko04131
A0A026X004	ko00000
A0A026X004	ko01009
A0A026X344	ko00000
A0A026X344	ko00001
A0A026X344	ko01002
A0A026X344	ko03021
A0A026X344	ko03036
A0A3L8DX52	ko00000
A0A3L8DX52	ko01000
A0A026VSV8	ko00000
A0A026VSV8	ko04030
A0A026X0R1	ko00000
A0A026X0R1	ko00001
A0A026X0R1	ko00002
A0A026X0R1	ko01000
A0A026X0R1	ko01003
A0A026WGC0	ko00000
A0A026WGC0	ko00001
A0A026WGC0	ko01000
A0A026WGC0	ko03036
A0A3L8E2U3	ko00000
A0A3L8E2U3	ko01000
A0A3L8E2U3	ko03041
A0A026W8P6	ko00000
A0A026W8P6	ko01000
A0A026W8P6	ko03036
A0A026W8P6	ko04121
A0A026WQW9	ko00000
A0A026WQW9	ko01000
A0A026WQW9	ko01002
A0A026WQW9	ko03029
A0A3L8DQV6	br01610
A0A3L8DQV6	ko00000
A0A3L8DQV6	ko00001
A0A3L8DQV6	ko03011
A0A3L8DQV6	ko03036
A0A3L8DQV6	ko03400
A0A026X232	ko00000
A0A026X232	ko02000
A0A026WLE1	ko00000
A0A026WLE1	ko03036
A0A3L8DSC7	ko00000
A0A3L8DSC7	ko00001
A0A026VRS3	ko00000
A0A026VRS3	ko00001
A0A026VRS3	ko00002
A0A026VRS3	ko01000
A0A026VRS3	ko01001
A0A026VRS3	ko03032
A0A026VRS3	ko03400
A0A026W5V6	ko00000
A0A026W5V6	ko00001
A0A026W5V6	ko00002
A0A026W5V6	ko01000
A0A026W5V6	ko01001
A0A026W5V6	ko01020
A0A026W5V6	ko03019
A0A026W5V6	ko03400
A0A026W5V6	ko04050
A0A026W5V6	ko04131
A0A026W5V6	ko04147
A0A026W6D6	ko00000
A0A026W6D6	ko03029
A0A3L8DBV1	ko00000
A0A3L8DBV1	ko04131
A0A3L8E0T0	ko00000
A0A3L8E0T0	ko00001
A0A3L8E0T0	ko01000
A0A026W3M0	ko00000
A0A026W3M0	ko00001
A0A026W3M0	ko00002
A0A026W3M0	ko03051
A0A026VT50	br01610
A0A026VT50	ko00000
A0A026VT50	ko00001
A0A026VT50	ko00002
A0A026VT50	ko03011
K4PM56	ko00000
K4PM56	ko00001
K4PM56	ko00002
K4PM56	ko01000
K4PM56	ko03029
A0A026VXU1	ko00000
A0A026VXU1	ko00001
A0A026VXU1	ko00002
A0A026VXU1	ko01000
A0A3L8E2A2	ko00000
A0A3L8E2A2	ko00001
A0A3L8E2A2	ko01000
A0A3L8E2A2	ko01001
A0A026WEA8	ko00000
A0A026WEA8	ko03000
A0A026WF14	ko00000
A0A026WF14	ko03019
A0A026WF14	ko03036
A0A3L8DYX6	ko00000
A0A3L8DYX6	ko03029
A0A3L8DAB9	ko00000
A0A3L8DAB9	ko00001
A0A3L8DAB9	ko02000
A0A3L8DAB9	ko04131
A0A3L8E245	ko00000
A0A3L8E245	ko00001
A0A3L8E245	ko01000
A0A3L8E245	ko01009
A0A3L8E245	ko04516
A0A026WUP1	ko00000
A0A026WUP1	ko00001
A0A026WUP1	ko01000
A0A026W1C9	ko00000
A0A026W1C9	ko00001
A0A026W1C9	ko01000
A0A026W1C9	ko02000
A0A026W1C9	ko04090
A0A026W1C9	ko04147
A0A026VSK6	ko00000
A0A026VSK6	ko00001
A0A3L8DIQ1	ko00000
A0A3L8DIQ1	ko00001
A0A3L8DIQ1	ko01000
A0A026VX37	br01610
A0A026VX37	ko00000
A0A026VX37	ko03011
A0A3L8E1K3	ko00000
A0A3L8E1K3	ko01000
A0A3L8E1K3	ko01001
A0A3L8E1K3	ko03036
